first-k,SMRS,TextRank,FWSR-BM25,FWSR-SIF
0.1895408980529098,0.1383181499290903,0.15875929618605575,0.1301266639038784,0.15906082659205922
0.11793973150893486,0.09309029398316682,0.09390529136255667,0.07259940160061797,0.1098603188072361
0.5525942596042224,0.3122271442504688,0.5904063510359032,0.7245556537374417,0.3313059331503704
0.056343349003910775,0.022202992267397068,0.045746183851809785,0.03917026399767249,0.031528987447430504
0.03362930568412559,0.014872782315345414,0.0260484215632762,0.021236366212377778,0.021473712892204577
0.2083266360334585,0.05303502915018528,0.22391408093994755,0.30668517366796244,0.07034530169159811
0.11620556475884843,0.09123762639193529,0.09058847342611358,0.06987078601976623,0.10720279691595488
0.1109671988978444,0.0870539683173288,0.08795350934062401,0.06895668145504394,0.10034539044602264
0.5239996177360282,0.2908871109572809,0.5560338828305825,0.6908814048870329,0.30663961370749115
2.63214111328125e-06,1.3023272800445556,0.20603536128997801,5.608736972808838,7.3258319854736325
587.96,248.96,919.94,1548.3,256.48
